id,pval_(Intercept),adj.pvalue,pval_sig,LogFC_(Intercept),LogFC (Higher is Higher in Spring)
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Pseudogracilibacillus,0.931146506,3.72E-25,1,-0.010737259,2.000127821
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Tepidibacillus,0.209138182,0.095793855,0,2.400895547,-3.184744115
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__uncultured,0.931146506,1.81E-14,1,-0.010737259,1.934048817
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__,0.208309907,0.478592371,0,2.229737974,1.266265039
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Chryseomicrobium,0.931146506,0.770459266,0,-0.010737259,0.241729504
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Domibacillus,0.931146506,6.03E-34,1,-0.010737259,3.007838237
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus,0.931146506,1.67E-292,1,-0.010737259,4.662236917
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus,0.931146506,7.79E-81,1,-0.010737259,3.310607341
d__Bacteria;p__Firmicutes;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus,0.931146506,1.85E-21,1,-0.010737259,1.951037631
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,0.931146506,0.9128596,0,-0.010737259,0.081871811
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-002,0.931146506,0.34199768,0,-0.010737259,0.643053772
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003,0.931146506,2.54E-07,1,-0.010737259,2.029942841
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group,0.931146506,1.01E-11,1,-0.010737259,1.988221793
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum,0.931146506,3.40E-38,1,-0.010737259,2.316676596
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,0.931146506,2.21E-49,1,-0.010737259,3.137880771
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,0.931146506,7.64E-36,1,-0.010737259,3.872557294
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella,0.931146506,0.245806614,0,-0.010737259,0.758595308
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Ileibacterium,0.931146506,4.39E-05,1,-0.010737259,1.607831159
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium,0.931146506,0.421412634,0,-0.010737259,0.488285236
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,0.931146506,2.50E-68,1,-0.010737259,4.012433013
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__uncultured,0.931146506,0.906877141,0,-0.010737259,0.081871811
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__ZOR0006,0.931146506,0.830847132,0,-0.010737259,-0.124474592
d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium,0.208299457,0.248512992,0,2.227723869,-2.18327022
d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Haloplasmataceae;g__Haloplasma,2.13E-172,4.21E-221,1,4.672791355,-5.456639922
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__,0.931146506,3.33E-51,1,-0.010737259,2.213154474
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus,0.931146506,0.162302798,0,-0.010737259,1.153803197
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Eremococcus,0.931146506,9.90E-08,1,-0.010737259,1.623529415
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia,0.931146506,1.20E-36,1,-0.010737259,2.107870157
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;__,0.931146506,0.16096687,0,-0.010737259,1.181432417
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Atopostipes,0.931146506,0.830847132,0,-0.010737259,-0.124474592
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Trichococcus,0.931146506,0.882280501,0,-0.010737259,0.106574468
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0.931146506,1.95E-100,1,-0.010737259,3.832876541
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,0.008241906,0.011249254,1,2.936122803,2.851461454
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc,0.931146506,6.63E-06,1,-0.010737259,1.215604271
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella,0.931146506,7.05E-57,1,-0.010737259,2.298697829
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0.931146506,2.46E-11,1,-0.010737259,2.39969307
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0.931146506,3.21E-212,1,-0.010737259,4.421543884
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Candidatus_Bacilloplasma,0.16884289,1.33E-05,1,0.355466837,-1.139315405
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma,0.931146506,0.16822879,0,-0.010737259,1.141223088
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma,0.931146506,0.674730461,0,-0.010737259,0.151084932
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Ammoniphilus,0.202969217,0.332590924,0,1.626814369,-1.466258489
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Cohnella,0.931146506,0.638014821,0,-0.010737259,0.480622064
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Fontibacillus,0.931146506,0.753916023,0,-0.010737259,0.286239968
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus,0.931146506,1.85E-79,1,-0.010737259,4.299407101
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__uncultured,0.931146506,0.882280501,0,-0.010737259,0.106574468
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39,0.931146506,4.65E-04,1,-0.010737259,1.664628821
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,0.931146506,0.634721809,0,-0.010737259,0.488285236
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Macrococcus,0.931146506,0.970300503,0,-0.010737259,0.026187116
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,0.931146506,9.72E-129,1,-0.010737259,4.893788317
d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Risungbinella,0.931146506,0.830847132,0,-0.010737259,-0.124474592
d__Bacteria;p__Firmicutes;c__BRH-c20a;o__BRH-c20a;f__BRH-c20a;g__BRH-c20a,0.931146506,0.816118163,0,-0.010737259,-0.124474592
d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__,0.16884289,7.95E-11,1,0.355466837,2.118287672
d__Bacteria;p__Firmicutes;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter,0.931146506,0.88854842,0,-0.010737259,-0.079964128
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group,0.931146506,8.39E-27,1,-0.010737259,3.794955037
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__uncultured,0.931146506,0.220294296,0,-0.010737259,0.96880425
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Gracilibacteraceae;g__Lutispora,0.931146506,0.158128129,0,-0.010737259,1.247374331
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;__,0.005014985,1.54E-04,1,1.787138589,2.414713042
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Acetivibrio,0.931146506,0.103483379,0,-0.010737259,1.385879479
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Anaerobacterium,0.931146506,0.10531781,0,-0.010737259,1.498768688
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Fastidiosipila,0.931146506,2.09E-37,1,-0.010737259,4.800742499
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Hungateiclostridium,0.931146506,0.89708968,0,-0.010737259,-0.079964128
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Mageibacillus,0.931146506,2.56E-18,1,-0.010737259,3.628533551
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Ruminiclostridium,0.931146506,0.059487003,0,-0.010737259,2.401817386
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__UCG-012,0.194406158,0.018195647,1,0.952719993,-1.736568561
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured,0.931146506,4.76E-26,1,-0.010737259,3.63851689
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014,0.931146506,1.88E-53,1,-0.010737259,4.347293465
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group,0.931146506,0.144975173,0,-0.010737259,1.201640624
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Caloramatoraceae;g__Fonticella,0.195581833,8.25E-06,1,1.099997577,3.869766221
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Caloramatoraceae;g__uncultured,0.931146506,0.193609699,0,-0.010737259,0.970591564
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__,1.34E-154,1.16E-09,1,6.045766854,-2.14772137
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus_Arthromitus,0.931146506,5.82E-24,1,-0.010737259,4.011132019
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1,0.931146506,5.55E-236,1,-0.010737259,4.448701459
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_10,0.931146506,5.00E-118,1,-0.010737259,3.744954605
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_11,0.931146506,0.24457528,0,-0.010737259,0.874102833
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_12,0.931146506,1.13E-152,1,-0.010737259,4.740328015
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_13,0.206145846,0.079156682,0,2.014378084,-2.798226652
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_19,0.931146506,0.809556276,0,-0.010737259,-0.124474592
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_3,0.931146506,0.113913532,0,-0.010737259,1.28132696
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_5,0.931146506,5.88E-81,1,-0.010737259,2.59216934
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_6,0.931146506,5.64E-17,1,-0.010737259,2.688695276
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_7,0.019487278,0.004275603,1,3.507450059,-4.291298627
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_8,0.204786273,0.112890071,0,1.829749713,2.307931402
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_9,0.931146506,2.47E-10,1,-0.010737259,3.040648384
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__uncultured,0.202765601,0.058206105,0,1.606606162,-2.39045473
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oxobacteraceae;g__Oxobacter,0.931146506,0.121719261,0,-0.010737259,1.3050256
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__uncultured;g__uncultured,0.931146506,0.970300503,0,-0.010737259,0.026187116
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Alkalibacteraceae;g__Alkalibacter,0.16884289,1.33E-05,1,0.355466837,-1.139315405
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011,0.931146506,0.631681984,0,-0.010737259,-0.236632004
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__,0.174862697,5.00E-28,1,0.355466837,3.65964348
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group,0.931146506,0.32670097,0,-0.010737259,0.623440272
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group,0.931146506,0.950044655,0,-0.010737259,-0.040703116
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group,0.931146506,4.65E-06,1,-0.010737259,2.055112025
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ruminantium_group,0.931146506,0.309684273,0,-0.010737259,0.679124967
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group,0.931146506,0.188229465,0,-0.010737259,1.009257869
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group,0.931146506,1.89E-14,1,-0.010737259,2.88752107
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group,0.931146506,0.904310475,0,-0.010737259,0.081871811
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group,0.931146506,5.55E-29,1,-0.010737259,1.834370268
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group,0.931146506,1.41E-12,1,-0.010737259,2.968956336
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2,0.931146506,0.993428473,0,-0.010737259,-0.005582944
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter,0.931146506,3.56E-53,1,-0.010737259,4.196568229
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerocolumna,0.931146506,0.968122098,0,-0.010737259,0.026187116
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,0.931146506,8.69E-70,1,-0.010737259,4.575189348
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio,0.931146506,4.21E-42,1,-0.010737259,4.450718191
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cellulosilyticum,0.931146506,0.238565095,0,-0.010737259,0.814280003
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHKCI001,0.931146506,1.16E-34,1,-0.010737259,1.837560085
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus,0.931146506,1.55E-11,1,-0.010737259,2.467843542
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea,0.931146506,1.26E-08,1,-0.010737259,2.285368132
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Epulopiscium,0.194804632,0.019290345,1,0.9707424,-1.754590968
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus,0.931146506,0.9128596,0,-0.010737259,0.081871811
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter,0.931146506,5.43E-37,1,-0.010737259,3.375359468
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575,0.931146506,0.227428255,0,-0.010737259,0.838982661
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix,0.931146506,0.882280501,0,-0.010737259,0.106574468
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,0.931146506,0.163145384,0,-0.010737259,1.152772799
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium,0.18073459,5.09E-09,1,0.525742045,2.620822317
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira,0.931146506,4.46E-26,1,-0.010737259,3.832192184
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group,0.931146506,8.80E-05,1,-0.010737259,1.846693077
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,0.931146506,1.79E-47,1,-0.010737259,5.033376639
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0.931146506,9.41E-25,1,-0.010737259,3.623827393
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0.931146506,2.49E-11,1,-0.010737259,2.33373508
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,0.931146506,0.745496692,0,-0.010737259,-0.175858152
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0.931146506,2.59E-13,1,-0.010737259,2.266297053
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,0.931146506,2.23E-36,1,-0.010737259,4.000121425
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas,0.931146506,4.24E-09,1,-0.010737259,1.892327769
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Shuttleworthia,0.931146506,4.00E-25,1,-0.010737259,6.026168535
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum,0.931146506,0.834576819,0,-0.010737259,0.17129314
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella,0.931146506,0.349389728,0,-0.010737259,0.618351115
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella,0.931146506,0.129154883,0,-0.010737259,1.408671912
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured,0.931146506,0.229015589,0,-0.010737259,1.02018781
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus,0.931146506,0.210442919,0,-0.010737259,1.018648161
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__;__,0.185317951,0.917262657,0,0.721670933,-0.079964128
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group,0.931146506,9.02E-06,1,-0.010737259,2.015678792
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus,0.931146506,1.72E-17,1,-0.010737259,2.038738426
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Incertae_Sedis,0.931146506,0.711765699,0,-0.010737259,-0.175858152
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__,0.931146506,4.12E-16,1,-0.010737259,2.310588147
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter,0.931146506,1.53E-07,1,-0.010737259,2.338036215
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group,0.931146506,3.94E-44,1,-0.010737259,3.284936454
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter,0.931146506,0.290973609,0,-0.010737259,0.652444065
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002,0.931146506,8.13E-29,1,-0.010737259,3.902811315
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003,0.931146506,0.180199366,0,-0.010737259,1.080449235
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005,0.931146506,0.178861477,0,-0.010737259,1.063351471
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured,0.931146506,4.66E-12,1,-0.010737259,2.54526562
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__,0.931146506,7.28E-10,1,-0.010737259,1.834370268
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group,0.931146506,1.49E-17,1,-0.010737259,1.860557709
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus,0.931146506,0.946080078,0,-0.010737259,-0.040703116
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella,0.931146506,0.631681984,0,-0.010737259,-0.236632004
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352,0.931146506,1.52E-58,1,-0.010737259,3.424951397
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Caproiciproducens,0.931146506,0.722225197,0,-0.010737259,-0.175858152
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium,0.931146506,1.84E-61,1,-0.010737259,5.80703943
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella,0.931146506,0.992927966,0,-0.010737259,-0.005582944
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis,0.931146506,0.89708968,0,-0.010737259,-0.079964128
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus,0.931146506,8.83E-41,1,-0.010737259,3.317883142
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum,0.931146506,1.99E-43,1,-0.010737259,4.030822713
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819,0.931146506,8.46E-09,1,-0.010737259,1.69396578
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured,0.931146506,5.00E-09,1,-0.010737259,1.448358365
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010,0.931146506,3.68E-04,1,-0.010737259,0.957874309
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured,0.931146506,0.284882133,0,-0.010737259,0.726825248
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group,0.931146506,0.816118163,0,-0.010737259,-0.124474592
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Anaerovorax,0.931146506,0.20684932,0,-0.010737259,0.928870516
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Mogibacterium,0.931146506,0.841492761,0,-0.010737259,0.151084932
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__S5-A14a,0.931146506,0.326722049,0,-0.010737259,0.643053772
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Caminicellaceae;g__Caminicella,0.007275412,9.38E-04,1,3.359876836,-4.143725404
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__,0.046428264,0.143000764,0,2.544670049,-2.283353878
